Date,Location,Season,pH,Dissolved_Oxygen_mg_L,Turbidity_NTU,Conductivity_uS_cm,Temperature_C,Hardness_mg_L,Chloride_mg_L,Ammonia_mg_L,Nitrate_mg_L,Phosphate_mg_L,Iron_mg_L,Manganese_mg_L,Sulfate_mg_L,Total_Coliform_CFU_100mL,E_Coli_CFU_100mL,BOD_mg_L,COD_mg_L
2020-01-01 00:00:00,Lake_A,Winter,7.19,9.83,0.68,390,18.8,76,30,0.14,3.0,0.05,0.05,0.02,49,2,0,1.6,8.9
2020-01-02 00:00:00,Lake_B,Winter,7.26,8.99,0.42,386,18.2,58,11,0.13,1.6,0.08,0.07,0.02,26,2,0,0.8,11.6
2020-01-02 12:00:00,Lake_C,Winter,6.95,9.39,0.57,330,25.9,69,39,0.09,0.3,0.06,0.05,0.03,31,1,0,1.9,6.7
2020-01-03 04:00:00,Lake_D,Winter,7.16,8.02,0.09,433,18.0,61,26,0.14,3.3,0.04,0.06,0.02,23,2,0,1.6,7.2
2020-01-03 20:00:00,Lake_E,Winter,7.13,8.59,0.34,351,22.9,56,10,0.13,1.1,0.02,0.04,0.01,45,2,0,1.1,5.7
2020-01-05 12:00:00,Lake_F,Winter,6.83,9.47,0.44,441,25.7,98,35,0.17,4.2,0.07,0.03,0.02,46,1,0,0.6,5.6
2020-01-05 16:00:00,Lake_G,Winter,7.39,8.75,0.3,463,25.6,119,33,0.08,0.5,0.12,0.05,0.02,46,2,0,1.2,6.8
2020-01-07 20:00:00,Lake_H,Winter,7.33,9.19,0.55,458,22.0,56,26,0.12,3.8,0.07,0.02,0.02,25,1,0,1.4,6.7
2020-01-08 08:00:00,Lake_I,Winter,6.92,9.47,0.43,441,24.1,56,25,0.19,1.7,0.09,0.04,0.02,32,1,0,1.9,7.3
2020-01-08 20:00:00,Lake_J,Winter,7.06,8.75,0.38,360,23.9,85,17,0.18,1.9,0.09,0.07,0.03,15,1,0,1.0,10.1
2020-02-25 12:00:00,Lake_K,Winter,7.26,7.15,1.6,765,17.8,140,65,0.55,12.0,0.45,0.28,0.15,145,15,3,5.2,52.5
2020-02-25 16:00:00,Lake_L,Winter,7.48,6.28,2.53,850,21.1,149,77,0.8,13.3,0.96,0.28,0.23,171,21,5,6.5,59.9
2020-02-25 20:00:00,Lake_M,Winter,7.05,5.78,1.56,804,26.4,138,58,0.34,17.9,0.52,0.33,0.24,181,23,5,5.5,31.1
2020-02-26 00:00:00,Lake_N,Winter,7.17,7.29,3.45,620,15.1,126,69,0.87,8.1,0.62,0.3,0.1,134,14,5,4.4,49.7
2020-02-26 04:00:00,Lake_O,Winter,7.3,7.59,2.55,750,16.2,155,70,0.6,11.0,0.48,0.42,0.18,210,22,2,5.8,25.0
2020-02-26 08:00:00,Lake_P,Winter,7.24,7.48,3.47,638,21.6,193,89,0.64,19.3,0.34,0.57,0.1,146,29,3,4.1,41.5
2020-02-26 12:00:00,Lake_Q,Winter,6.95,7.1,2.1,815,22.8,188,65,0.62,17.2,0.55,0.15,0.1,94,6,4,4.9,49.9
2020-02-26 16:00:00,Lake_R,Winter,7.01,6.15,2.19,828,23.1,195,84,0.7,15.3,0.96,0.5,0.09,144,8,2,5.9,59.8
2020-02-26 20:00:00,Lake_S,Winter,6.87,6.85,2.57,692,17.2,198,93,0.65,15.2,0.46,0.39,0.3,142,29,2,5.4,38.0
2020-02-27 00:00:00,Lake_T,Winter,7.5,5.93,2.27,671,20.6,183,74,0.86,14.9,0.54,0.51,0.16,107,5,1,4.0,25.3
2020-04-21 00:00:00,Lake_U,Spring,4.84,4.45,7.85,1450,23.1,296,184,1.05,53.4,2.14,2.36,0.58,447,292,126,19.5,378.5
2020-04-21 04:00:00,Lake_V,Spring,5.13,4.83,4.19,1245,24.7,334,153,3.79,71.6,4.3,1.79,0.82,569,117,138,23.4,121.8
2020-04-21 08:00:00,Lake_W,Spring,4.66,3.08,4.19,1318,16.7,307,127,2.47,70.5,3.66,1.81,0.96,489,343,141,27.9,381.0
2020-04-21 12:00:00,Lake_X,Spring,5.58,3.94,5.34,1336,20.7,238,189,1.87,78.1,3.15,1.92,1.98,387,266,172,19.3,370.5
2020-04-21 16:00:00,Lake_Y,Spring,5.25,3.2,5.45,1433,16.0,310,228,3.14,81.1,3.29,2.42,1.13,478,301,167,28.2,147.8
2020-04-21 20:00:00,Lake_Z,Spring,5.86,1.47,5.64,1145,10.3,316,234,2.84,43.2,2.5,1.95,1.93,337,340,161,18.8,247.7
2020-04-22 00:00:00,Lake_[,Spring,4.61,4.09,5.95,1580,11.5,343,145,3.65,86.7,4.89,1.96,1.59,380,135,227,13.1,193.8
2020-04-22 04:00:00,Lake_\,Spring,4.6,2.16,10.66,1261,26.0,214,206,1.95,82.5,1.98,2.8,0.86,374,380,181,12.3,187.9
2020-04-22 08:00:00,Lake_],Spring,5.52,1.54,8.07,1710,25.3,259,168,2.37,42.4,3.72,1.73,1.78,515,398,163,20.4,178.8
2020-04-22 12:00:00,Lake_^,Spring,5.66,2.69,5.8,1156,13.6,317,150,2.58,61.6,3.53,2.75,1.8,408,348,91,25.9,276.2
